label,sentences
anger,"मैं टैग नहीं जानता! अपने जननांग कैसे फोन कॉल कर सकते हैं? ठीक है? यह एक पूर्ण विश्व नहीं है! बस जाओ, कृपया।"
anger,ठीक है।
joy,आप कैसे कर रहे हैं? आपका स्वागत है. आप को देखकर अच्छा है!
neutral,यह आपका फोन होगा।
neutral,"यह बहुत अच्छा है. लेकिन uh, मैं वास्तव में अधिक कॉल की उम्मीद नहीं कर रहा हूँ."
neutral,"नहीं, तुम इसका जवाब देते हो और वचन ले जाते हो।"
surprise,लेकिन मैं हैसियत रखता हूँ!
neutral,"नहीं, गैरी कोलिन्स होस्ट है. आप फोन जवाब देंगे."
neutral,"आप समझ नहीं लगते. देखो, मैं डॉ. ड्रेक रेमोरे था."
neutral,"ठीक है, यहाँ आपके फोन चिकित्सक है।"
neutral,Hey guys.
surprise,Hey Gunther. Hi. मैं मतलब है कि आप एक तारीख के ऊपर ध्वनि वाले आदमी के साथ बाहर जा रहे हैं?
neutral,वह बहुत मोहक है।
disgust,"मैं जानता हूँ, वह बहुत मोहक है, लेकिन अगर आप दो बाहर जाना शुरू कर दिया है, तो यह सिर्फ यह करने के लिए मेरे लिए बहुत मुश्किल कर देगा कि उसे घृणा करने के लिए."
neutral,"ठीक है, आप बस करने के लिए करने के लिए जा रहे हैं।"
neutral,"जोए, कहाँ हैं"
neutral,"मैं नहीं जानता, चंडलर उन्हें चारों ओर पासिन होना चाहिए है..."
anger,"ठीक है, दस ब्लॉक नीचे. पांच करने के लिए जा रहा है."
joy,"ओह, प्रतीक्षा करें! रुकिए! रुकिए! रुकिए!"
surprise,ओह मुझे अफसोस है! आप एक ब्रेक की जरूरत है?
joy,मेरी बूटों में टन! හේ! तुम थोड़ा करीब हो सकता है ताकि मैं मूल्य देख सकता हूँ?
joy,मैं यह यहाँ से देख सकता हूँ। यह एक पति तुम्हें लागत है।
sadness,"ठीक है, मुझे क्षमा है. मुझे लगता है कि मैं अब रास्ते के बाकी चल सकता है. बस-बस मुझे मेरे बूट दे दो."
anger,आगे बढ़ो!
joy,अल्लाह!
neutral,"हाँ, आप ऐसा पसंद नहीं करते?"
joy,"ओह, ठीक है!"
joy,आप इसे वहाँ चाहते हैं? आप इसे वहाँ ले जाओ बच्चे!
sadness,Phoebe?
joy,"हाँ, मेरा नाम कहो. यह कहो! और अब मैं तुम्हें वापस ढकने के लिए जा रहा हूँ, और हम कभी भी ऐसा नहीं कर रहे हैं."
neutral,है?
neutral,मैं आपसे बात करता हूँ और यह कुछ भी नहीं है।
neutral,तुम मेरी ओर देखते हो और कुछ भी नहीं।
neutral,कुछ भी नहीं।
joy,"आप लोग मुझे उड़ाने के लिए बनाते हैं! उच्च! ठीक है, हम इसे यहाँ उठाने के लिए जा रहे हैं, कल."
neutral,"खैर, यह ah था..."
surprise,क्या! तुम क्या कर रहे हो!
anger,क्या आप जानते हैं कि अभी क्या हुआ?
neutral,हाँ. हम-हम मैथुन किया और फिर हम सो गए.
neutral,नहीं. हम सेक्स के बीच में थे... और
joy,"नहीं! नहीं, यह सच नहीं है. नहीं, कभी भी सबसे अच्छा समय! हाँ, तुम मेरे संसार को रोका!"
neutral,"चिंता मत करो, चंडलर, यह संयुक्त राज्य अमेरिका का एक भूमंडल नहीं है।"
neutral,आप लोग मैं बाहर जाने के लिए जा रहा हूँ और एक चाल ले जा रहा हूँ.
surprise,"Phoebe, आपका बैग क्यों चल रहा है?"
neutral,"ओह, नहीं!"
surprise,"सचमुच, यह चल रहा है!"
surprise,वहाँ क्या है?
neutral,यह सिर्फ मेरी कताई है कि सब है! हाँ! मैं यह कताई। मैं बहुत अच्छा हूँ।
neutral,अपने प्रत्येक कैरियर में एक समय आएगा जब आपको एक अन्य सोप ऑपेरा अभिनेता को झिड़कने का मौका मिलेगा।
neutral,हाल ही में मुझे ऐसा अवसर मिला।
sadness,"और मुझे यह कहने में शर्म आती है कि मैंने इसे लिया, मैंने एक साथी अभिनेता को सलाह दी, एक भूमिका निभाने के लिए, लैंगिक रूप से."
anger,"हाँ, हम दोनों भाग के लिए ऑडिशन किया, और ओह, जैसा कि यह पता चला, वे आह, वे मूर्ख गे बात पसंद किया और उसे रंगमंच।"
sadness,"और अब, वह एक दो साल का संविदा सुशन Luchhi, दिन के समय टेलीविजन की पहली महिला के विपरीत है, और मैं, मुझे मैं यहाँ एक झुंड लोगों को सिखा रहा हूँ, जिनमें से अधिकतर टेलीविजन पर होने के लिए भी बहुत बदतर हैं।"
sadness,"मुझे खेद है, खेद है, खेद है।"
surprise,राच?
neutral,मैं एक सेकंड में बाहर हो जाएगा।
joy,ओह. यह सिर्फ इतना अप्रत्याशित है! मैं... मैं uh... लड़के मैं तुम्हें बता दूँगा कि यह सिर्फ एक ऐसा सम्मान है कि एक के लिए नामांकित किया जाता है
neutral,"प्यारे, हमें जाना है. हमारी आरक्षण 8:00 पर हैं."
neutral,8 बजे Neil Simon द्वारा आरक्षण में। धन्यवाद-नाईल। शब्दों के लिए धन्यवाद।
neutral,"ठीक है प्यारी, आप बाद में इसे पूरा कर सकते हैं हम देर हो जा रहे हैं. हम जाना है."
joy,"कृपया, संगीत न बजाएँ. बस uh एक और."
surprise,मुझे विश्वास नहीं हो सकता कि आप नहीं जानना चाहते।
joy,"मेरा मतलब है, मैं नहीं जान सकता था, मेरा मतलब है, यदि, यदि डॉक्टर जानता है, और कैरोल जानता है, और सुसन जानता है..."
neutral,और मोनिका जानता है...
surprise,"हू, हू, तुम कैसे जान सकते हो, मैं भी नहीं जानता!"
neutral,"कैरोल ने मुझे लैजानिया के लिए धन्यवाद देने के लिए बुलाया, मैंने पूछा, उसने मुझे बताया।"
joy,तो यह क्या होगा?
anger,"प्रतीक्षा-ओह-हे-हूह, ओह, महान अब वह जानता है, और मैं नहीं जानता!"
joy,"मुझे खेद है, मैं सिर्फ एक टीटी होने के बारे में उल्लास है!"
neutral,या एक चाचा...
joy,Phoebe!
neutral,"Phoebe, क्या मामला है?"
sadness,"कुछ नहीं, मुझे क्षमा है, मैं बस हूँ, मैं तरह से बाहर हूँ।"
surprise,"ठीक है, यह मैं हूँ!"
neutral,"चंडलर, उस मेज 7 बजे बंद होता है, चलो."
neutral,ठीक है।
neutral,"Phoebe, यह क्या है?"
neutral,"ठीक है, तुम पाओलो को जानते हो?"
neutral,"मैं उनके काम से परिचित हूँ, हाँ..."
anger,उसने मेरी ओर एक कदम उठाया।
surprise,"अरे, दुकान कल खुलेगी!"
joy,"यहाँ से अधिक कॉफी, कृपया!"
surprise,"अरे. क्या, तुम यहाँ क्या कर रहे हो?"
sadness,"अच्छी तरह से, मैं-मैं तुमने क्या कहा था के बारे में बहुत सोचा, और हं, मैं वास्तव में ड्यूह, ठीक है शायद मैं एक छोटा सा निर्णयात्मक था."
neutral,"हाँ, ओह, लेकिन ओह..."
neutral,"अब देखो, Phoebe याद है, hey, उनके बस अपने क्रिसमस पूरा करने के लिए...."
neutral,भाग्य।
surprise,ठीक है. Yikes! यह एक बहुत पूरी नहीं लग रहा है।
neutral,"ओह, यह है, यह है ah, एक पुराने हैं, वह सिर्फ पीछे ले जा रहा है।"
anger,"आप पुराने को पीछे रख देते हैं, यह एक भावना है।"
neutral,अच्छी तरह से हमें नए लोगों के लिए जगह बनानी है।
sadness,"तो, बुजुर्गों के साथ क्या होता है?"
neutral,"ठीक है, वे चिपियर में जाते हैं।"
fear,"क्यों, मैं एक भावना है कि यह ध्वनि के रूप में खुश नहीं है? नहीं! Nooooo!!!"
surprise,अरे! अरे!
neutral,प्रकाश अभी भी बाहर है?
neutral,ओह. शायद वे-Napping कर रहे हैं.
sadness,"ओह, कृपया, वे सेक्स कर रहे हैं।"
anger,चुप रहो!
neutral,"तो, क्या लगता है जॉर्ज की तरह है?"
neutral,मुझे लगता है कि वह शर्मिंदा है।
neutral,"हाँ, मुझे लगता है कि आप उसे बाहर आकर्षित करने के लिए है. और फिर-जब आप करते हैं-वह एक प्रीपी जानवर है."
joy,"हाय! हाय, मैं रोस हूँ, आप मुझे नहीं जानते हैं, लेकिन मैं एक बड़ा, बड़ा तुम्हारा फ़ैन हूँ. मेरा मतलब है,"
neutral,क्या तुम उस लड़की के साथ नहीं है वहाँ?
neutral,"ठीक है, हाँ, एक तरह."
neutral,"हं, लेकिन यह ठीक है, हम एक समझ है देखते हैं, हं, देखते हैं कि हम प्रत्येक पांच प्रसिद्ध लोगों की इस सूची है, तो मैं आप के साथ सोने के लिए अनुमति है।"
joy,"नहीं, नहीं, नहीं, यह प्रशंसा है।"
joy,"ओह, नहीं, नहीं, नहीं, प्रतीक्षा, प्रतीक्षा, इसाबेल."
fear,"मत, सिर्फ यह इतनी तेजी से अस्वीकार नहीं।"
neutral,मेरा मतलब है यह एक बार जीवन में एक अवसर है...
neutral,"हाँ, आप के लिए. कि सूची है?"
neutral,"हं, हाँ।"
neutral,क्या मैं इसे देख सकता हूँ?
fear,"हं, नहीं।"
neutral,"लेकिन, ठीक है।"
surprise,मैं इस सूची में नहीं हूँ!
neutral,"देखो, लेकिन यह अंतिम ड्राफ्ट नहीं है।"
anger,यह लामिनेट है!
neutral,"हाँ, um, ठीक है, देखो, आप थे, आप सूची पर थे लेकिन मेरे दोस्त, चंडलर ने बहुत अच्छा बिंदु उठाया कि आप अंतरराष्ट्रीय हैं, तो मैं तुम्हें विनोना राइडर, स्थानीय के लिए बुमपे."
neutral,यकीन है कि यह व्यंग्यात्मक है...
neutral,...क्योंकि मेरे पास पांच मूर्ख कॉफी हाउस के आदमी की सूची है और कल मैं उस आदमी के लिए वहाँ पर तुम्हें बुम किया.
neutral,हम सिर्फ दोस्त बनेंगे.
anger,यहाँ से बाहर जाओ तुम छिपे हो!
surprise,ओह! तुम बना दिया!
neutral,"हाँ, मैं उस पर बहुत देर तक क्रोधित नहीं हो सकता था।"
joy,"हाँ, वह चान प्रेम के बिना नहीं रह सकती थी।"
disgust,"ओह, एक कमरा ले जाओ।"
neutral,हमारे पास एक है।
disgust,मैं जानता हूँ. इसका उपयोग करें.
surprise,"ओ मॉन, सुनो मुझे पूछना है!"
neutral,"ठीक है, Joey Tribbiani मुझे अपने फ्लैट में वापस बुलाया, अब वह यह बहुत से लड़कियों के साथ करता है?"
neutral,"हाँ, बहुत. बहुत, बहुत!"
surprise,"ओह! और मैं उनमें से एक हूँ!! वाow! ओह, मैं बस इस पर विश्वास नहीं कर सकता! मेरा मतलब है, Joey Tribbiani!"
neutral,"ठीक है, तुम जानते हो यह मेरे काम का कोई भी नहीं है, लेकिन आप शादी नहीं कर रहे हैं?"
anger,हाँ. ओह मैं बस हम एक थोड़ा सा के लिए शादी नहीं कर सकते थे चाहता था! Y’know मैं बस हम एक ब्रेक की तरह हो सकता था चाहता था!
anger,रॉस! मुझे लगता है कि वह मेरे पास वापस आने के लिए आप के साथ कुछ होने के लिए प्रयास कर रहा है!
neutral,तो यही एकमात्र कारण है कि वह यहाँ हो सकता है हू?
neutral,यह इस तथ्य के साथ कुछ भी नहीं किया जा सकता था कि-क्या मैं एक अच्छा श्रोता हूँ और मैं uh मैं एक पर रख दिया है
anger,"रॉस, मैं तुम्हें बता रहा हूँ कि वह मेरी ओर वापस आने के लिए आप का उपयोग कर रही है!"
neutral,"मुझे लगता है कि मैं अपने आप की देखभाल कर सकता हूँ, मैं बाद में आप से बात करूँगा।"
neutral,गॉड-बाई।
surprise,ओह!
neutral,"Uh, कि वास्तव में आपका बहन था."
neutral,वह-वह लगता है कि आप सिर्फ मुझे उपयोग कर रहे हैं.
surprise,तुम यहाँ क्या कर रहे हो!
neutral,"मैं, आपके बर्फ घन ट्रे भरने के लिए आया."
neutral,"हं, ठीक है, ठीक है, देखो."
anger,मैंने इस तस्वीर को आपके फ्रिज से लिया है।
anger,"ठीक है, क्योंकि मैं जानता हूँ कि यह मेरा पिता है।"
anger,"हाँ, यह फ्रैंक बुफै है और आप उसके बगल में खड़े हैं।"
anger,"अब देखो, मैं जानने का हकदार हूँ कि मैं कहाँ से आया हूँ।"
anger,ठीक है?
anger,तो अगर तुम मेरे पिता को ढूंढने में मेरी मदद कर सकते हो तो तुम भी ऐसा कर सकते हो!
anger,"अन्यथा, तुम सिर्फ निष्ठुर हो!"
anger,तो मुझे सच बताओ!
neutral,"ठीक है, इस तस्वीर में आदमी चाक मैजीओनी है।"
surprise,मेरा पिता चॉक मैजीओनी है?
neutral,"नहीं, नहीं, यह सिर्फ Chuck Magioni है, मैं-मैं पिछले साल उसे एक घर बेच दिया था!"
sadness,"और मुझे बहुत अफसोस है, लेकिन मैं नहीं जानता कि आपका पिता कहाँ है, और यह सच है।"
neutral,"लेकिन हं, आप सही हैं।"
neutral,मुझे लगता है कि किसी व्यक्ति को पता होना चाहिए कि वे कहाँ से आते हैं।
neutral,"Wh-इसीलिए मैं ah, ahh, ठीक है।"
surprise,है?
sadness,"मैं तुम्हें कल बताना चाहता था, लेकिन मैं सिर्फ, मैं एक तरह से सभी floopy महसूस किया, और..."
surprise,तुम्हारे एसेन्ट के लिए क्या हो रहा है?
surprise,फिर आओ?
fear,क्या-क्या यह बेहूदा है?
sadness,"ठीक है, मैं-मैं अंग्रेज नहीं हूँ।"
neutral,मैं लंग आइलैंड से हूँ।
sadness,"मैं वास्तव में चिंतित था और एसेन्ट बस uh, बाहर आया."
neutral,"तो, अगर हम सिर्फ व्याख्यान के लिए वापस हो सकता है।"
neutral,"हं, वहाँ कोई सवाल थे?"
neutral,पुरातत्वविज्ञान के बारे में।
anger,"ठीक है, देखो मैं सिर्फ एक अच्छी पहली छाप बनाने के लिए प्रयास कर रहा था।"
sadness,"निस्संदेह, मैं खराब हो गया था।"
neutral,लेकिन आप लोग मेरे बारे में क्या लगता है वास्तव में महत्वपूर्ण है क्योंकि मैं-मैं एक स्थायी नौकरी यहाँ पाने की आशा कर रहा हूँ।
neutral,तो अगर आप मुझे एक अच्छा प्रभाव बनाने के लिए एक और मौका दें
anger,रोस! तुम पागल हो! मैं हूँ
surprise,चलो राहेल!
neutral,"तुम कहाँ जा रहे हो, जो?"
neutral,घूमने के लिए।
neutral,ओह. आप अगर मैं आप के साथ शामिल हो जाने के लिए मना है?
neutral,"वास्तव में, यह लंबे समय तक होगा. आप जानते हैं, मैं वास्तव में अपने विचारों को व्यवस्थित करने की जरूरत है."
surprise,आपके विचार? बहुल?
joy,"ठीक है, ठीक है, मेरे पास सिर्फ एक विचार है! यह गर्म nanny के बारे में है, मैं उसे देखना है!"
neutral,"मुझे डर है कि मैं तुम्हें ऐसा नहीं कर सकता, जो।"
anger,अब आप मुझे कह रहे हैं कि मैं उसे नहीं देख सकता??
sadness,तुम लोग मुझे मार रहे हो!
sadness,वह फलों की मनाही करती है!
sadness,"यह जैसे... जैसे वह राजकुमारी है और मैं स्थिर लड़के हूँ... क्यों आप यह कर रहे हैं, हू?"
neutral,क्या रॉस ने तुमसे कहा था कि मुझे वहां नहीं जाना चाहिए?
neutral,"हाँ, वास्तव में उसने ऐसा किया, इसलिए मैं तुम्हें नहीं छोड़ सकता।"
anger,हाह. दिलचस्प. अब वहाँ बाधाएं हैं. गर्म नर्स और मैं दुनिया के खिलाफ है. इस तरह की चीजें महान उपन्यासों से बनाया गया है.
surprise,महान उपन्यास?
neutral,अच्छा... औसत पांडुल्म
neutral,"ठीक है, मुझे लगता है कि हम मूल्यांकन वापस मिल सकता है वे इसे देखने से पहले, लेकिन हम श्री Zelner के कार्यालय में जाने के लिए जा रहे हैं."
neutral,"अब, वह 10 तक नहीं मिलता है, तो वह कोई समस्या नहीं है, लेकिन उसकी सहायक, बेटी, वह अपने डेस्क पर अपने नाश्ता खाने के लिए जल्दी आ जाता है।"
sadness,यह बहुत दुखद है।
neutral,"हाँ, अच्छी तरह से बेटी एक तरह से दुखी है. इसीलिए मुझे विश्वास है कि मैं इन चॉकलेटों के साथ उसे दूर आकर्षित कर सकता है. अब, जब मैं उसे विचलित करते हुए,"
joy,मिल गया!
joy,चलो घुमाएँ!
neutral,"हालो रेशेल, आप uh, एक मिनट है?"
neutral,"हाँ, निश्चित है श्री Zelner, आप के लिए कुछ भी-मिनेट. ठीक है. ठीक है. योजना परित्याग करें, योजना परित्याग करें."
neutral,"Uh वास्तव में, मैं आप दोनों के साथ बात करना चाहता हूँ।"
neutral,"ठीक है. Uh, अच्छी तरह से हम कर सकते हैं, हम आपको कुछ मिल सकता है श्री Zelner? शायद कुछ चॉकलेट?"
neutral,"कैसी, आप वहाँ में सब कुछ ठीक पा रहे हैं?"
neutral,हाँ! मुझे यहां ठहरने के लिए बहुत धन्यवाद।
joy,कोई समस्या नहीं! मैं
neutral,तुम लोहा हो।
joy,तुम इस्पात हो!
anger,"मुझे आप से कुछ पूछना है, क्यों जब मैं आपके कंप्यूटर समर्थन लाइन को बुलाता हूँ, मैं एक घंटे और आधा प्रतीक्षा करना है?"
neutral,"मैंने आपको बताया है, हम हमेशा नए प्रचालक जोड़ रहे हैं। क्या हम मेरे प्रशिक्षण पर ध्यान केंद्रित कर सकते हैं?"
surprise,"मेरा मतलब है, क्यों, सभी लोगों में आप चिप के साथ बाहर जाना चाहते हैं?"
neutral,"देखो, तुम और मैं विभिन्न उच्च विद्यालयों में गया था..."
neutral,"ठीक है, यह मुझे नहीं मदद करता है, क्योंकि हम एक ही हाई स्कूल में गया था।"
neutral,"आप उस जगह गये जहां आप लोकप्रिय थे, और आपको चिप के मोटरसाइकिल से उतरना पड़ा और उसके पत्रकार के जैकेट पहनना पड़ा।"
sadness,मैं वहाँ गया जहां मैंने एक बैंड यूनिफर्म पहना था जो उन्हें विशेष रूप से बनाया गया था।
surprise,उन्हें यह विशेष रूप से बनाया गया था!
neutral,यह होम ईसी कक्षाओं में से एक के लिए एक परियोजना थी।
surprise,"ओह भगवान, उन्होंने हमें बताया कि यह मसकोट के लिए था!"
surprise,"उस समय, मैं सोचता था कि मैं कभी कभी नहीं होगा, कभी एक चिप मैथ्यूस के साथ बाहर जाने का मौका मिलता है, और अब वह है-उसने मुझे बुलाया है और मुझे बाहर करने के लिए कहा है."
joy,और मेरे भीतर का मोटा लड़की सचमुच जाना चाहता है।
neutral,मैं-मैं उसे यह ऋणी हूँ।
neutral,मैंने कभी उसे खाना नहीं दिया।
neutral,"ओह, तुम उसके साथ बाहर जाओ।"
surprise,"ओह, सचमुच!"
neutral,"हाँ. बस, अगर यह संभव है, आप उसे कहीं छोड़ सकते हैं और एक और आदमी के साथ सेक्स करने के लिए जा सकते हैं?"
neutral,मैं कोशिश करूँगा।
neutral,"अरे! ऊंचे आदमी! अरे, सुनो, मैं तुम से उस लड़की के बारे में बात करना चाहता था कि आप के साथ नाच रहे हैं."
neutral,"हाँ, हाँ, ठीक है।"
joy,"देखो दोस्त, मैं उस लड़की के साथ आया था, और मैंने इस योजना थी कि नए वर्षों की गिनती में उसे चुंबन-मैं उसे जीतने के लिए कोशिश कर रहा हूँ, तो मैं सोच रहा था कि अगर.."
anger,"आओ आदमी, तुम मेरे भागीदार के साथ नृत्य कर सकते हैं, वह वास्तविक है, आह, मृदु!"
neutral,"खैर, मैं इस रात के बाद उम्मीद कर रहा था कि शायद मैं तुम्हें पता कर सकता है"
anger,"रोस, इसके ऊपर जाओ! यह ऐसा नहीं है कि वह तुम्हें घृणा करता है."
sadness,हाँ लेकिन
neutral,"रॉस, वह अजीब नहीं है, वह सिर्फ अपने सामान एक तरह की हो जाना चाहता है।"
anger,Huh. Y’know क्या एक तरह का नहीं है? एक जुड़वां!
joy,"ओह, Phoebe यहाँ है! ठीक है, चलो सभी प्रकाश बाहर कर दें और हम बस फिल्म देखेंगे!"
joy,"ठीक है. अरे-ओह, ठंडे पन्ने!"
joy,"ओह, आप इसे पसंद करते हैं? आप जानना चाहते हैं कि मैं इसे कहाँ पाया है?"
joy,उसे एक मछली बाजार मिला!
disgust,"तुम अपनी चादरों को एक फ्ली मार्केट में खरीदा? रोस आओ, आप एक छोटा सा बटुआ स्ट्रिंग loosen करने के लिए है."
neutral,और जोय?
neutral,तुम कैसे लगता है कि वह क्या कर रही है?
surprise,क्या मैं एकमात्र हूँ जो यह नहीं सोचता कि वह गर्म है? Ross?
surprise,"इह, मेरा मतलब है, मैं जानता हूँ कि वह अप्राकर्षक नहीं है लेकिन गर्म है? मैं...."
neutral,अब कि राहेल गया है?
sadness,इतना गर्म था कि कल रात मैं सोने के लिए अपने आप को रोया।
sadness,"ओह, भगवान हमारी मदद करें।"
disgust,ब्लिग नाग गै की लेट kitchen tile. Eww!
disgust,"देखो, मैं यहाँ एक फ़रियाद माँग रहा हूँ. यदि मैं यह उसके भाई के लिए करता हूँ, शायद Angela मेरे पास वापस आ जाएगा."
sadness,"मैं जानता हूँ, लेकिन, मैंने एक बड़ा गलती की. मैं कभी भी उसके साथ टूटना चाहिए था. आप मेरी मदद करेंगे? कृपया?"
joy,"तो प्यारे, आज सुबह बहुत मजेदार था, हं? मैं वहाँ धोने में तुम पर आरोहण कर रहा हूँ."
joy,हाँ! और शायद एक दिन हम दो स्नानागारों के साथ एक जगह मिल सकता है।
neutral,"क्यारोल देखो, मैं था, मैं सोच रहा था शायद uh, शायद हम कुछ चीजें spice up कर सकते हैं।"
surprise,आप क्या कहते हैं?
sadness,कैरोल हमारी यौन जीवन है-यह बस काम नहीं करता है
joy,अरे छोटा आदमी!
neutral,"Hey, uh-hey, क्यों हम तुम पर कुछ जूते नहीं मिलता है, हू?"
joy,तुम अपने कमरे में अपने जूते कैसे पहन सकते हैं dad को क्यों न दिखाओ!
joy,अरे!
neutral,"सचमुच, हमारी यौन जीवन... मैं सोच रहा था, शायद मैं नहीं जानता, हम कुछ-कुछ नए चीजों का प्रयास कर सकते हैं।"
neutral,खेल के लिए?
surprise,जैसे क्या?
joy,"मैं नहीं जानताumm, अगर हम एक-दूसरे से बहुत बांधे थे तो क्या होगा?"
neutral,"हं, कुछ लोग एक दूसरे से चीजें खाते हैं।"
disgust,नहीं!
neutral,"हं, आप जानते हैं हम-हम दूषित बात करने की कोशिश कर सकते हैं?"
neutral,"हम तीनsome हो सकता है, हम कर सकते हैं."
joy,मैं उस विचार को पसंद करता हूँ!
neutral,तो किसने सोचा था कि सभी को स्कीटों पर खाना पकाने में लाना है?
anger,"ओह, कुछ मूर्ख ग्राहक सुझाव बॉक्स में एक सुझाव डाल दिया।"
surprise,"ओह भगवान, उन्होंने मेरे विचार को ले लिया!"
surprise,क्या तुम थे?
joy,"हाँ! ठीक है, यहाँ तुम जाओ।"
neutral,"राहेल, मैंने तुम्हें एक कोकोआ बनाया।"
surprise,"ओह भगवान्, आप लोग ठीक हैं?"
surprise,क्या आप ठीक हैं?
surprise,ओह मेरी।
anger,बैठो!
surprise,"अरे, यहोशू!"
neutral,उन सब बातों के बारे में मैं तैयार नहीं होने के बारे में कहा
fear,वे सच नहीं है?
neutral,"नहीं, वे-वे सभी सच हैं।"
neutral,लेकिन
surprise,"ओह! ओह, मैं उस पर प्यार करता हूँ लेकिन."
neutral,क्या आप अंदर जाकर कॉफी पीना चाहते हैं?
neutral,ठीक है. हर बार.
anger,"क्या, Phoebe, तुम आलू को पिघलाया था? रोस को टुकड़े की जरूरत है!"
sadness,"ओह, मुझे क्षमा है, ओह, मैं बस, मैं सोचा था कि हम उन्हें हिप कर सकते हैं और फिर कुछ पीस और प्याज जोड़ सकते हैं।"
surprise,हम ऐसा क्यों करेंगे?
sadness,"अच्छी तरह से, क्योंकि तब वे मेरी माँ के लिए उन्हें बनाने के लिए प्रयोग किया जाता था की तरह हो जाएगा, तुम्हें पता है, वह मरने से पहले."
neutral,"ठीक है, तीन प्रकार के आलू आता है।"
joy,"ठीक है, आप लोगों से विदा. हर चीज़ के लिए धन्यवाद. ओह, क्षमा! ओह, क्षमा!"
surprise,सबसे अविश्वसनीय बात हुई है. अंडरडॉग अभी दूर हो गया है.
neutral,गेंद?
neutral,"नहीं, नहीं, वास्तविक कार्टून पात्र. वास्तव में गेंद. यह सभी समाचारों पर है. ठीक पहले कि वह पहुँच गया है"
neutral,"मैं नहीं कर सकता, मुझे जाना है।"
surprise,चलो. एक 80 फीट inflatable कुत्ता शहर के ऊपर छोड़ दिया. कितनी बार ऐसा होता है?
anger,लगभग कभी नहीं।
neutral,कुंजियाँ मिल गई हैं?
neutral,आप क्या सोचते हैं?
neutral,बहुत कुछ।
neutral,आप क्या सोचते हैं कि वह कौन है?
neutral,क्या मैं तुम्हारी मदद करूँ?
neutral,"ओह, धन्यवाद नहीं, हम सिर्फ देखने के लिए यहाँ हैं।"
neutral,आप एक नृत्य कक्षा का अवलोकन नहीं करते. आप
neutral,उसका मतलब क्या है?
neutral,मुझे लगता है कि वह मतलब है 'आप
anger,"ठीक है, मैं किसी भी व्यक्ति को देख सकते हैं जो आप सोच सकते हैं?"
anger,लोगों! पिछली बार कक्षा के बाद कुछ खाली yoghurt कंटेनरों के पास पड़े हुए थे. हम ऐसा पुनः नहीं होना चाहिए!
neutral,वह तुम हो सकता है।
neutral,"चलो शुरू करें. पांच, छह, एक-पांच छह सात आठ..."
anger,"ठीक है, मैं यह नहीं पा रहा हूँ!"
joy,मैं पूरी तरह समझ रहा हूँ!
sadness,क्या तुम कभी ऐसा महसूस करते थे कि कभी-कभी तुम इतने अविश्वसनीय रूप से असंगठित हो?
surprise,क्या? आप सिर्फ क्लिक करते हैं जब वे क्लिक करें।
neutral,"ठीक है लोगों, अब सभी एक साझीदार पकड़ें।"
neutral,"ठीक है. और, मेरी, मृत, माँ, कहता है, तुम, है, यह. मैं रचेल के साथ हूँ."
disgust,महान है. यह सब फिर से जिम क्लास है.
surprise,"मैं पागल नहीं हूँ, ठीक है? मेरा मतलब है, यह कभी ऐसा नहीं था।"
neutral,"नहीं, नहीं था।"
joy,"ओह, और यह बहुत अच्छा है इस छोटी sink यहाँ है..."
joy,"ओह, यह अच्छा नहीं है? यह इतना शांत है, मैं यहाँ पूरे दिन बिछू सकता था।"
neutral,मैं जानता हूँ
joy,अपने drapes खोलें! अपने drapes खोलें!
joy,मुझे बहुत खुशी है कि हमारे पास पड़ोसी कमरों है!
joy,सूर्य बाहर है!
anger,अरे! याद है जब मुझे कोर्नस था?
neutral,"ठीक है सुनो, तुम तालाब में जाओ और कुर्सी आरक्षित करें, और मैं पत्रिकाओं और लोशन मिल जाएगा।"
neutral,देवियो? रोस का भाषण 45 मिनट में होगा.
anger,"दीवारें काफी पतली हैं, आदमी!"
joy,मैं Joey Tribbiani हूँ और सभी सम्मान के साथ मैं कुछ तरल पदार्थ दान करना चाहता हूँ।
neutral,"हम वास्तव में हमारे अनुसंधान चक्रों में से एक के अंत में हैं, तो हम अभी आवेदकों की खोज नहीं कर रहे हैं।"
sadness,"ओह, यह बहुत बुरा है. मैं एक तरह से बचत कर रहा हूँ. हां, आप निश्चित हैं कि मैं भाग लेने के लिए कोई अध्ययन नहीं है?"
neutral,"ठीक है, यहाँ आने वाले की एक अनुसूची है।"
neutral,धन्यवाद. अच्छी तरह से लेकिन यह एक अब शुरू होता है।
neutral,"ओह, यह एक अब उपलब्ध है, लेकिन केवल समान twins पात्र हैं। यह एक twins अध्ययन है।"
surprise,"लेकिन यह $2,000 है।"
neutral,अच्छी तरह से इस एक के बारे में कैसे है? Joey Tribbiani के प्रभावों का परीक्षण आकर्षक नर्सों के स्वागतकर्ताओं पर.
joy,"हम पहले से ही उस पर परिणाम वापस मिल गया है, और वे अच्छे नहीं हैं।"
neutral,अरे! यह कैसे चल रहा है?
neutral,"खैर, पिछले पांच मिनट में बहुत कुछ नहीं बदला है।"
joy,हाँ है! मैंने कुकी बनायी है!
neutral,"ओह, यह ठीक है. मैं अभी भी आपके homemade आलू चिप्स से भरा हूँ."
joy,लेकिन तुम उन्हें अब खाओ क्योंकि वे वाष्प से गर्म हैं।
